SISTR1_serovar,start,end
Enteritidis 12,2016,2019
Enteritidis 397,2021,2021
Enteritidis 87,2008,2023
Infantis 2398,2009,2022
Infantis 36,2012,2023
Paratyphi B 214280,1983,2019
Paratyphi B 214282,1983,2019
Paratyphi B 331042,1983,2021
Paratyphi B 340107,1984,1984
Paratyphi B 340818,1983,1983
Sandiego 248323,2020,2022
Sandiego 302775,2020,2020
Sandiego 355858,2021,2021
Sandiego 355906,2021,2021
Sandiego 42202,2019,2019
Typhimurium 147,2018,2021
Typhimurium 158,2013,2022
Typhimurium 1585,1945,1945
Typhimurium 1950,2016,2017
Typhimurium 2,2013,2021
Typhimurium 2340,2015,2021
Typhimurium 235,2023,2023
Typhimurium 269,2019,2022
Typhimurium 293,2004,2022
Typhimurium 305,2006,2019
Typhimurium 5196,2013,2022
Typhimurium 92,2020,2020
