Uberstrain	Name	"Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)"	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	SISTR1 Serovar	SISTR1 Serogroup	SISTR1 H1	SISTR1 H2	SeqSero2 Serovar	SeqSero2 Serogroup	SeqSero2 H1	SeqSero2 H2	ST	eBG	Serotype (Predicted)	Lineage	Subspecies	aroC	dnaN	hemD	hisD	purE	sucA	thrA	cgST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_BA2039AA	FDA364935 1-9	"SRR2096554;ILLUMINA;Paired;500;SRX1091664;384304624;214;Assembled"	SAL_BA2039AA	Livestock	Swine	dried pork ears	2006	1			South America	Chile							Typhimurium var. O5 - (Copenhagen)	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN02845748	SRS987299	27-08-2015	10-07-2015	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	35921	35921	35921	35921	35921	305	305	305	2	2	2	2	2	2	Assembled	77	166512	5045448	"Salmonella enterica;98.98%"	116	6379	2.2	SAL_IA5729AA_AS
SAL_BA3777AA	CFSAN003935	"SRR975380;ILLUMINA;Paired;500;SRX347708;406194896;241;NEW"	SAL_BA3777AA	Livestock	Swine	dried pork ears	2006	1	31		South America	Chile							Anatum	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA218653	SRP029784	SAMN02352673	SRS478498	27-08-2015	10-09-2013	Anatum	E1	e,h	1,6	Anatum	3,10	e,h	1,6	64	65	Anatum			10	14	15	31	25	20	33	34548	34548	34548	34548	34548	34548	7	7	5	5	5	5	2	2	Assembled	86	493774	4725602	"Salmonella enterica;100.0%"	62	5493	2.2	SAL_EA4360AA_AS
SAL_CA8406AA	FDA357864	"SRR1778029;ILLUMINA;Paired;500;SRX857657;636914888;202;NEW"	SAL_CA8406AA	Aquatic Animal	Fish	frz salmon fillets	2005	11			South America	Chile							Newport	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN02844301	SRS829596	27-08-2015	29-01-2015	Newport	C2-C3	e,h	1,2	Newport	8	e,h	1,2	31	7	Newport			2	2	15	14	15	20	12	23075	23065	23065	23065	17481	17481	17481	17481	401	401	401	44	2	2	Assembled	134	402195	4782394	"Salmonella enterica;100.0%"	38	3258	2.2	SAL_CA3641AA_AS
SAL_CA8991AA	FDA272155	"SRR1744009;ILLUMINA;Paired;500;SRX831916;830669968;236;Assembled"	SAL_CA8991AA	Livestock	Swine	pig ears	2004	3			South America	Chile							Typhimurium	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN02843993	SRS810228	27-08-2015	06-01-2015	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	22583	22583	22583	22583	22583	14886	293	201	2	2	2	2	2	2	Assembled	163	286992	5101709	"Salmonella enterica;94.11%"	60	2175	2.2	SAL_JA4500AA_AS
SAL_DA4911AA	LT10	"ERR023823;ILLUMINA;Paired;240;ERX009574;488252700;75;NEW"	SAL_DA4911AA	Human	Human	"Homo sapiens; feces"	1945				South America	Chile							Typhimurium	I				The Wellcome Trust Sanger Institute		PRJEB2059	ERP000113	SAMEA788613	ERS007496	27-08-2015	18-03-2011	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	17777	17777	17777	17777	17777	17777	1585	158	2	2	2	2	2	2	Assembled	100	196214	4920835	"Salmonella enterica;100.0%"	93	2124	2.2	SAL_JA6717AA_AS
SAL_EA4185AA	CFSAN024735	"SRR2176225;ILLUMINA;Paired;;SRX1160437;528568768;224;NEW"	SAL_EA4185AA	Human	Human	Homo sapiens	2012				South America	Chile	Santiago Metropolitan Region	Provincia de Santiago	Santiago				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079680	SRS1041461	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10128	10128	10128	1046	761	760	87	87	12	12	12	12	2	2	Assembled	112	406569	4745401	"Salmonella enterica;100.0%"	32	2266	2.2	SAL_IA5190AA_AS
SAL_EA4186AA	CFSAN024734	"SRR2176224;ILLUMINA;Paired;;SRX1160436;395714368;224;NEW"	SAL_EA4186AA	Human	Human	Homo sapiens	2012				South America	Chile	Valparaiso Region						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079679	SRS1041458	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10120	1057	762	762	760	760	87	87	12	12	12	12	2	2	Assembled	82	406296	4846790	"Salmonella enterica;84.21%"	42	2767	2.2	SAL_IA5191AA_AS
SAL_EA4187AA	CFSAN024733	"SRR2176223;ILLUMINA;Paired;;SRX1160435;506307674;223;NEW"	SAL_EA4187AA	Human	Human	Homo sapiens	2012				South America	Chile	Atacama Region						Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079678	SRS1041460	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10127	10127	10127	10127	10127	766	87	87	12	12	12	12	2	2	Assembled	108	406296	4711553	"Salmonella enterica;100.0%"	33	2469	2.2	SAL_IA5192AA_AS
SAL_EA4188AA	CFSAN024732	"SRR2176222;ILLUMINA;Paired;;SRX1160434;553194384;229;NEW"	SAL_EA4188AA	Poultry	Poultry	Poultry egg	2012				South America	Chile	Arica and Parinacota Region	Provincia de Arica	Arica				Enteritidis	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03079677	SRS1041459	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10126	10126	766	766	766	766	87	87	12	12	12	12	2	2	Assembled	118	490296	4710796	"Salmonella enterica;100.0%"	30	1687	2.2	SAL_IA5193AA_AS
SAL_EA4189AA	CFSAN024731	"SRR2176221;ILLUMINA;Paired;;SRX1160433;460051200;225;NEW"	SAL_EA4189AA	Poultry	Poultry	Poultry egg	2011				South America	Chile	Arica and Parinacota Region	Provincia de Arica	Arica				Enteritidis	I				FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN03079676	SRS1041456	29-10-2015	15-10-2015	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	10125	10125	10125	780	761	760	87	87	12	12	12	12	2	2	Assembled	98	490293	4708228	"Salmonella enterica;100.0%"	31	1739	2.2	SAL_IA5194AA_AS
