#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AC6408AA_AS.result.fasta	SAL_AC6408AA_AS_NODE_39_length_24561_cov_28.535279	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6409AA_AS.result.fasta	SAL_AC6409AA_AS_NODE_39_length_24561_cov_27.027830	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6574AA_AS.result.fasta	SAL_AC6574AA_AS_NODE_29_length_24561_cov_36.783621	14766	15323	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6577AA_AS.result.fasta	SAL_AC6577AA_AS_NODE_42_length_24582_cov_24.429483	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6578AA_AS.result.fasta	SAL_AC6578AA_AS_NODE_28_length_24561_cov_36.666285	9239	9796	+	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6580AA_AS.result.fasta	SAL_AC6580AA_AS_NODE_46_length_17540_cov_30.696434	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	54189	54531	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_23_length_69437_cov_16.404141	55178	55551	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_32_length_19695_cov_15.997905	9338	9980	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6581AA_AS.result.fasta	SAL_AC6581AA_AS_NODE_38_length_3736_cov_606.233029	1190	1320	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC6594AA_AS.result.fasta	SAL_AC6594AA_AS_NODE_34_length_24582_cov_26.131793	14787	15344	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	257	630	-	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	1277	1619	-	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_26_length_26974_cov_13.919023	24787	25048	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_29_length_19560_cov_13.854217	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6596AA_AS.result.fasta	SAL_AC6596AA_AS_NODE_35_length_3736_cov_498.031865	2854	2984	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC6597AA_AS.result.fasta	SAL_AC6597AA_AS_NODE_33_length_4043_cov_421.057712	3637	3793	-	Col3M_1	1-157/157	===============	0/0	100.00	98.09	plasmidfinder	JX514065	Col3M_1__JX514065	
SAL_AC6599AA_AS.result.fasta	SAL_AC6599AA_AS_NODE_33_length_23855_cov_25.199764	14060	14617	-	IncFIB(K)_1_Kpn3	3-560/560	===============	0/0	99.64	82.80	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
SAL_AC7114AA_AS.result.fasta	SAL_AC7114AA_AS_NODE_16_length_88528_cov_4.393740	43119	43761	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7114AA_AS.result.fasta	SAL_AC7114AA_AS_NODE_16_length_88528_cov_4.393740	58845	59106	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7115AA_AS.result.fasta	SAL_AC7115AA_AS_NODE_30_length_33482_cov_4.868745	29415	29676	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7115AA_AS.result.fasta	SAL_AC7115AA_AS_NODE_38_length_11949_cov_4.863052	2076	2718	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7160AA_AS.result.fasta	SAL_AC7160AA_AS_NODE_19_length_62335_cov_4.657231	13234	13876	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7160AA_AS.result.fasta	SAL_AC7160AA_AS_NODE_28_length_31593_cov_4.570997	29424	29685	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	48557	48899	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	49546	49919	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_10_length_83505_cov_6.407745	73148	73790	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_16_length_7520_cov_6.060463	3827	4088	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_17_length_7352_cov_419.845675	588	718	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7169AA_AS.result.fasta	SAL_AC7169AA_AS_NODE_17_length_7352_cov_419.845675	4197	4327	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_29_length_29666_cov_4.060361	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_30_length_28276_cov_3.901702	266	639	-	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_30_length_28276_cov_3.901702	1286	1628	-	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_35_length_7674_cov_3.617596	3585	3846	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7181AA_AS.result.fasta	SAL_AC7181AA_AS_NODE_39_length_3736_cov_175.918814	2599	2729	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	48567	48909	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	49556	49929	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_11_length_83515_cov_5.419041	73158	73800	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_16_length_5580_cov_4.880800	3433	3694	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7182AA_AS.result.fasta	SAL_AC7182AA_AS_NODE_20_length_3736_cov_400.357440	3237	3367	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	48568	48910	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	49557	49930	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_11_length_83516_cov_5.985250	73159	73801	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_18_length_5641_cov_5.322271	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7184AA_AS.result.fasta	SAL_AC7184AA_AS_NODE_21_length_3736_cov_559.863120	3582	3712	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_20_length_29666_cov_4.363689	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_26_length_5697_cov_4.376302	1927	2188	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_27_length_4878_cov_2.780257	162	504	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_27_length_4878_cov_2.780257	1151	1524	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_31_length_3736_cov_291.560820	3148	3278	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7186AA_AS.result.fasta	SAL_AC7186AA_AS_NODE_40_length_493_cov_1.642077	26	156	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	48567	48909	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	49556	49929	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_15_length_83515_cov_5.707692	73158	73800	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_22_length_5631_cov_5.851381	3444	3705	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7187AA_AS.result.fasta	SAL_AC7187AA_AS_NODE_25_length_3736_cov_300.807426	2575	2705	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7193AA_AS.result.fasta	SAL_AC7193AA_AS_NODE_22_length_60266_cov_5.725436	11336	11978	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7193AA_AS.result.fasta	SAL_AC7193AA_AS_NODE_27_length_33482_cov_5.257293	29424	29685	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7197AA_AS.result.fasta	SAL_AC7197AA_AS_NODE_16_length_93852_cov_5.619909	29426	29687	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7197AA_AS.result.fasta	SAL_AC7197AA_AS_NODE_16_length_93852_cov_5.619909	44771	45413	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7234AA_AS.result.fasta	SAL_AC7234AA_AS_NODE_16_length_93824_cov_4.873219	71664	71925	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7234AA_AS.result.fasta	SAL_AC7234AA_AS_NODE_16_length_93824_cov_4.873219	87009	87651	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	48573	48915	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	49562	49935	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_13_length_83521_cov_10.514929	73164	73806	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_20_length_5620_cov_9.365556	3433	3694	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7237AA_AS.result.fasta	SAL_AC7237AA_AS_NODE_24_length_3736_cov_709.737600	2110	2240	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	48571	48913	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC7245AA_AS.result.fasta	SAL_AC7245AA_AS_NODE_13_length_83519_cov_11.186577	49560	49933	+	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
