Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_10_length_184346_cov_45.357515	110639	113803	-	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.91	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_10_length_184346_cov_45.357515	113803	115026	-	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_10_length_184346_cov_45.357515	115303	117588	+	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_10_length_184346_cov_45.357515	117603	118064	+	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_11_length_180709_cov_40.721872	157524	160157	+	gyrA_D87Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_12_length_150095_cov_36.823649	43751	44794	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	99.71	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_12_length_150095_cov_36.823649	143464	145827	-	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	788	788	100.00	100.00	788	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_17_length_114048_cov_41.130968	14631	16820	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_21_length_89145_cov_23.005617	16205	18004	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
SAL_AC6409AA_AS	NA	SAL_AC6409AA_AS_NODE_21_length_89145_cov_23.005617	17994	19793	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
