#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AC6595AA_AS.result.fasta.gz	SAL_AC6595AA_AS_NODE_26_length_7036_cov_982.099580	4443	4573	-	Col(pHAD28)_1	1-131/131	===============	0/0	100.00	93.89	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
SAL_AC6595AA_AS.result.fasta.gz	SAL_AC6595AA_AS_NODE_31_length_2829_cov_1568.645448	1503	1633	+	Col(pHAD28)_1	1-131/131	===============	0/0	100.00	100.00	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	257	630	-	IncX1_1	1-374/374	===============	0/0	100.00	98.66	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_25_length_28267_cov_12.406397	1277	1619	-	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_26_length_26974_cov_13.919023	24787	25048	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_26_length_26974_cov_13.919023	25071	25511	+	IncFII(pAR0022)_1	1-441/442	===============	0/0	99.77	85.03	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_29_length_19560_cov_13.854217	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6596AA_AS.result.fasta.gz	SAL_AC6596AA_AS_NODE_35_length_3736_cov_498.031865	2854	2984	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
SAL_AC6597AA_AS.result.fasta.gz	SAL_AC6597AA_AS_NODE_33_length_4043_cov_421.057712	3637	3793	-	Col3M_1	1-157/157	===============	0/0	100.00	98.09	plasmidfinder	JX514065	Col3M_1__JX514065	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_17_length_91753_cov_32.718056	11181	11823	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	99.84	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_17_length_91753_cov_32.718056	89740	90001	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_17_length_91753_cov_32.718056	90024	90464	+	IncFII(pAR0022)_1	1-441/442	===============	0/0	99.77	85.03	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_25_length_38691_cov_85.772249	34197	34539	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_25_length_38691_cov_85.772249	35186	35559	+	IncX1_1	1-374/374	===============	0/0	100.00	98.93	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_37_length_4378_cov_969.764526	208	338	+	Col(pHAD28)_1	1-131/131	===============	0/0	100.00	92.37	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_37_length_4378_cov_969.764526	3594	3876	+	Col440II_1	2-281/282	========/======	1/3	99.29	83.04	plasmidfinder	CP023921	Col440II_1__CP023921	
SAL_AC6600AA_AS.result.fasta.gz	SAL_AC6600AA_AS_NODE_39_length_2829_cov_1766.806810	198	328	+	Col(pHAD28)_1	1-131/131	===============	0/0	100.00	100.00	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
SAL_AC7029AA_AS.result.fasta.gz	SAL_AC7029AA_AS_NODE_70_length_10933_cov_1.732371	1987	2629	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	100.00	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7029AA_AS.result.fasta.gz	SAL_AC7029AA_AS_NODE_76_length_7958_cov_1.467884	1019	1459	-	IncFII(pAR0022)_1	1-441/442	===============	0/0	99.77	85.03	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
SAL_AC7029AA_AS.result.fasta.gz	SAL_AC7029AA_AS_NODE_76_length_7958_cov_1.467884	1482	1743	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7249AA_AS.result.fasta.gz	SAL_AC7249AA_AS_NODE_16_length_50907_cov_10.120658	9716	10358	-	IncFIB(S)_1	1-643/643	===============	0/0	100.00	98.91	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC7249AA_AS.result.fasta.gz	SAL_AC7249AA_AS_NODE_21_length_5633_cov_9.359608	3446	3707	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC7249AA_AS.result.fasta.gz	SAL_AC7249AA_AS_NODE_21_length_5633_cov_9.359608	3730	4170	+	IncFII(pAR0022)_1	1-441/442	===============	0/0	99.77	85.03	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
SAL_AC7282AA_AS.result.fasta.gz	SAL_AC7282AA_AS_NODE_15_length_93858_cov_6.595833	29426	29687	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
